food_name,Protein (g),Total lipid (fat) (g),"Carbohydrate, by difference (g)",Energy (kcal),"Alcohol, ethyl (g)",Water (g),Caffeine (mg),Theobromine (mg),Total Sugars (g),"Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Magnesium, Mg (mg)","Phosphorus, P (mg)","Potassium, K (mg)","Sodium, Na (mg)","Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (µg)",Retinol (µg),"Vitamin A, RAE (µg)","Carotene, beta (µg)","Carotene, alpha (µg)",Vitamin E (alpha-tocopherol) (mg),Vitamin D (D2 + D3) (µg),"Cryptoxanthin, beta (µg)",Lycopene (µg),Lutein + zeaxanthin (µg),"Vitamin C, total ascorbic acid (mg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),"Folate, total (µg)",Vitamin B-12 (µg),"Choline, total (mg)",Vitamin K (phylloquinone) (µg),Folic acid (µg),"Folate, food (µg)","Folate, DFE (µg)","Vitamin E, added (mg)","Vitamin B-12, added (µg)",Cholesterol (mg),"Fatty acids, total saturated (g)",SFA 4:0 (g),SFA 6:0 (g),SFA 8:0 (g),SFA 10:0 (g),SFA 12:0 (g),SFA 14:0 (g),SFA 16:0 (g),SFA 18:0 (g),MUFA 18:1 (g),PUFA 18:2 (g),PUFA 18:3 (g),PUFA 20:4 (g),PUFA 22:6 n-3 (DHA) (g),MUFA 16:1 (g),PUFA 18:4 (g),MUFA 20:1 (g),PUFA 20:5 n-3 (EPA) (g),MUFA 22:1 (g),PUFA 22:5 n-3 (DPA) (g),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)"
Wine Nonalcoholic,0.5,0,1.1,6,0,98.2,0,0,1.1,0,9,0.4,10,15,88,7,0.08,0.011,0.2,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0.02,1,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bean Paste,6.22,0.47,49.98,226,0,42.21,0,0,33.92,5.3,21,2.13,32,102,290,124,0.77,0.176,1.1,0,0,0,0,0.02,0,0,0,0,0.9,0.115,0.048,0.415,0.086,93,0,21.9,6,0,93,93,0,0,0,0.052,0,0,0,0,0,0,0.046,0.006,0.028,0.077,0.121,0,0,0,0,0,0,0,0,0.028,0.197
Blueberry Pie,0.41,0.2,44.38,181,0,54.66,0,0,37.75,2.6,27,0.8,10,12,115,12,0.1,0.112,0.4,0,1,13,0,0.23,0,0,0,33,0.7,0.023,0.034,0.091,0.029,1,0,3.8,3.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blueberry Syrup,0,0,85.13,341,0,14.74,0,0,53,0.1,8,0.04,1,0,7,0,0.26,0.018,0.8,0,0,1,0,0.01,0,0,0,1,1.6,0.033,0.012,0.012,0.001,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caramel Dip,1.185,6.165,52.74,255.5,0,38.77,0,0,52.77,0,47,0.005,5,37.5,63,354.5,0.005,0.0005,1.2,73.5,74.5,12.5,0,0.045,0.05,0.5,0,0,0.45,0.0005,0,0,0,2,0.165,7.5,0.5,0,2,2,0,0,17.5,3.42,0.153,0.108,0.063,0.144,0.165,0.536,1.59,0.5565,1.125,0.169,0.025,0.008,0,0.075,0.001,0.009,0.002,0.0005,0.003,1.2675,0.189
Cherry Pie,0.6,0.91,28.59,122,0,69.57,0,0,24.96,0.9,9,1.08,5,8,76,52,0.06,0.057,0.2,7,37,353,0,0.26,0,0,0,44,1.6,0.013,0.036,0.136,0.034,6,0,3.3,2,0,6,6,0,0,0,0.163,0,0,0,0,0,0.001,0.093,0.063,0.39,0.224,0.031,0,0,0,0,0.001,0,0,0,0.392,0.255
Chocolate Dip,3.33,13.22,65.31,393,0,16.76,5,175,45.5,2,37,0.94,34,71,204,289,0.6,0.248,1.8,63,64,14,0,1.86,0,1,0,3,0.1,0.024,0.068,0.177,0.014,3,0.04,5.5,2.4,0,3,3,0,0,20,6.619,0.17,0.12,0.083,0.193,0.223,0.764,3.042,1.154,3.927,0.364,0.045,0.012,0,0.131,0.001,0.017,0.002,0,0.003,4.14,0.407
Chocolate Hazelnut,5.41,29.73,62.36,539,0,1.07,7,230,54.05,5.4,108,4.38,64,152,407,41,1.06,0.469,3.6,0,1,1,0,4.96,0,0,0,10,0,0.085,0.17,0.427,0.082,14,0.27,17.6,1.9,0,14,14,0,0,0,28.423,0.011,0.002,0.003,0.007,0.006,0.175,15.879,5.573,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Syrup,0.7,0.485,50.885,211,0,47.04,12,179,44.285,0,5.5,0,38,56,154.5,125,0.515,0.292,1.35,0,0,0,0,0.01,0,0,0,3,0,0.007,0.0355,0.1755,0.009,2.5,0,0.85,0.2,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn Syrup,0,0.2,76.79,283,0,22.81,0,0,76.77,0,13,0,1,0,1,62,0.44,0,0.7,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dessert Dip,6.01,15.05,22.48,249,0,55.62,0,0,22.18,0,82,0.02,8,95,104,170,0.44,0.009,7.7,160,160,1,0,0.37,0.4,0,0,3,0,0.032,0.199,0.122,0.037,8,0.27,25.1,1,0,8,8,0,0,44,8.819,0.334,0.255,0.167,0.453,0.468,1.42,4.074,1.344,3.406,0.334,0.057,0.024,0,0.278,0,0.029,0.004,0.001,0.008,3.236,0.703
Fruit Butter,0.39,0.3,42.47,173,0,56.45,0,0,35.3,1.5,14,0.31,4,8,91,15,0.06,0.08,0.4,0,1,9,0,0.05,0,9,0,17,0.6,0.009,0.019,0.076,0.037,1,0,2.1,0.9,0,1,1,0,0,0,0.053,0,0,0,0,0.001,0.002,0.041,0.008,0.016,0.066,0.017,0,0,0.001,0,0,0,0,0,0.016,0.084
Guava Paste,0.1,0.27,72.56,292,0,26.88,0,0,71.62,1.1,3,0.09,2,3,69,2,0.06,0.028,0.6,0,4,51,0,0.16,0,0,1173,0,43.9,0.008,0.017,0.126,0.027,2,0,1.2,0.6,0,2,2,0,0,0,0.012,0,0,0,0,0,0.001,0.01,0.001,0.004,0.013,0.005,0,0,0,0,0,0,0,0,0.004,0.018
Icing Chocolate,1.1,17.6,63.2,397,0,17,2,79,57.7,0.9,8,1.42,21,79,196,183,0.29,0.2,0.8,0,0,0,0,1.56,0,0,0,0,0,0.013,0.017,0.119,0.005,1,0,6.9,0,0,1,1,0,0,0,5.526,0,0,0,0,0,0.103,2.41,3.06,9.02,2.13,0.096,0,0,0,0,0,0,0,0,9.02,2.226
Icing White,0,16.23,67.89,418,0,15.07,0,0,63.1,0,3,0.16,1,18,34,184,0.07,0,0.1,0,0,0,0,1.53,0,0,0,0,0,0.01,0.302,0.22,0,8,0,2.3,13,0,8,8,0,0,0,2.974,0,0,0,0,0,0.02,2.375,0.579,4.681,7.05,0.901,0,0,0.178,0,0,0,0,0,4.86,7.951
Jam,0.37,0.07,68.86,278,0,30.47,0,0,48.5,1.1,20,0.49,4,19,77,32,0.06,0.1,2,0,0,0,0,0.12,0,0,0,0,8.8,0.016,0.076,0.036,0.02,11,0,10.2,0,0,11,11,0,0,0,0.01,0,0,0,0,0,0,0.004,0,0.007,0,0,0,0,0,0,0.018,0,0.014,0,0.038,0
Jam Or,0.1825,0.0325,46.8125,186.25,0,52.72,0,0,30.99,1.4,13.25,0.195,4.5,7.75,70.25,7.25,0.095,0.03425,0.525,0,9,105.75,1.75,0.18,0,9.5,0,20,9.65,0.0145,0.02375,0.141,0.01775,8.25,0,4.2,1.025,0,8.25,8.25,0,0,0,0.00275,0,0,0,0,0,0,0.00175,0.0005,0.004,0.00775,0.0055,0,0,0,0,0.001,0,0.001,0,0.006,0.013
Lemon Pie,4.71,6.93,68.92,354,0,18.95,0,0,62.16,0.4,21,0.98,7,66,75,73,0.46,0.02,11.1,89,91,27,0,0.75,0.9,6,0,159,9.4,0.079,0.169,0.463,0.035,27,0.26,85,4.2,7,21,32,0,0,127,1.666,0,0,0,0.004,0,0.012,1.095,0.52,2.721,1.449,0.096,0,0,0.075,0,0.006,0,0,0,2.816,1.653
Marmalade,0.3,0,66.3,246,0,33.2,0,0,60,0.7,38,0.15,2,4,37,56,0.04,0.09,0.6,0,3,15,5,0.06,0,38,0,58,4.8,0.005,0.025,0.052,0.019,9,0,3,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancake Syrup,0,0.05,57.075,215,0,42.5,0,0,37.4,0,7.5,0.05,2,26.5,4.5,119.5,0.215,0.0315,0.45,0,0,0,0,0,0,0,0,0,0,0.015,0.01,0.0035,0.0015,0,0,0.05,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0.009,0.001,0.016,0.025,0,0,0,0,0,0,0,0,0,0.016,0.025
Simple Syrup,0,0.15,45.58,184,0,54.19,0,0,45.68,0,2,0.02,1,0,1,3,0.01,0.009,0.3,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strawberry Drink,0,0.02,65.1,261,0,34.82,0,0,65,0,0,0.03,1,0,1,0,0.06,0.007,0.4,0,0,0,0,0,0,0,0,0,0,0.007,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Potato,0.49,0.34,75.14,305,0,23.62,0,0,71.75,0.9,8,0.16,6,12,153,1,0.11,0.063,0.4,0,210,2526,2,0.08,0,0,0,0,3.9,0.013,0.031,0.128,0.035,3,0,3.8,0.1,0,3,3,0,0,0,0.006,0,0,0,0,0,0,0.006,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.004
Syrup Nfs,0,0.1,69.6,265,0,30.1,0,0,42,0,5,0.07,2,10,6,61,0.23,0.045,0.4,0,0,0,0,0,0,0,0,0,0,0.005,0.017,0.003,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0.018,0.002,0.032,0.05,0,0,0,0,0,0,0,0,0,0.032,0.05
Topping Butterscotch,1.21,0,57.01,216,0,40.63,0,0,57,0,49,0,5,39,66,341,0,0,1.3,19,19,0,0,0.05,0,0,0,0,0.5,0,0,0,0,2,0.18,6.6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topping Chocolate,4.6,8.9,62.9,350,0,21.8,7,247,34.82,2.8,49,1.3,48,97,284,346,0.83,0.348,2.3,1,1,0,0,2.63,0,0,0,4,0.2,0.034,0.091,0.25,0.02,4,0.06,5.5,2.5,0,4,4,0,0,1,3.98,0,0,0.018,0.047,0.056,0.237,1.801,0.756,3.78,0.249,0.024,0.005,0,0.067,0,0.01,0,0,0,3.857,0.278
Topping Fruit,0.2,0.1,66.3,254,0,33,0,0,27.38,0.7,6,0.28,4,5,51,21,0.06,0.032,0.8,0,1,9,0,0.1,0,0,0,9,13.7,0.011,0.024,0.161,0.012,6,0,9.8,0.7,0,6,6,0,0,0,0.005,0,0,0,0,0,0,0.004,0.001,0.014,0.029,0.021,0,0,0,0,0,0,0,0,0.014,0.05
Topping Marshmallow,0.8,0.3,79,322,0,19.8,0,0,46.8,0.1,3,0.22,2,8,5,80,0.04,0.095,1.9,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.076,0.002,1,0,0.1,0,0,1,1,0,0,0,0.056,0,0,0,0,0,0.001,0.04,0.015,0.076,0.045,0.001,0.001,0,0.004,0,0,0,0,0,0.08,0.047
Topping Nuts,4.5,22,58.08,448,0,14.69,0,0,36.72,2.3,35,1.05,54,118,151,42,1.05,0.54,2.1,0,0,4,0,0.23,0,0,0,3,0.3,0.18,0.12,0.373,0.178,26,0,11.8,0.9,0,26,26,0,0,0,1.96,0,0,0,0,0,0.07,1.51,0.38,4.73,11.3,2.42,0.01,0,0.06,0,0.19,0,0,0,4.97,13.73
Alcoholic Coffee,0.21,2.38,2.1,88,8.3,86.66,27,0,2.04,0,5,0.02,2,7,40,3,0.04,0.007,0.2,22,22,0,0,0.07,0.1,0,0,0,0,0.013,0.064,0.135,0.003,2,0,2.8,0.3,0,2,2,0,0,7,1.355,0.049,0.04,0.025,0.06,0.072,0.226,0.622,0.212,0.529,0.05,0.008,0.004,0,0.044,0,0.004,0.001,0,0.001,0.497,0.105
Black Russian,0.04,0.14,21.21,279,28.1,50.47,12,0,17.36,0,0,0.05,1,5,15,4,0.04,0.03,0.2,0,0,0,0,0,0,0,0,0,0,0.005,0.008,0.072,0.001,0,0,0.4,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0.035,0.009,0.01,0.044,0.004,0,0,0,0,0,0,0,0,0.01,0.048
Bloody Mary,0.67,0.23,3.8,73,7.8,86.75,0,0,2.26,0.4,10,0.34,8,17,166,200,0.1,0.052,0.4,0,17,202,1,0.24,0,1,6425,56,38.6,0.034,0.061,0.106,0.064,15,0,5.2,1.9,0,15,15,0,0,0,0.016,0,0,0,0,0,0.001,0.012,0.003,0.007,0.025,0.005,0,0,0,0,0,0,0,0,0.007,0.03
Brandy,0,0,0,231,33.4,66.6,0,0,0,0,0,0.04,0,4,2,1,0.04,0.021,0,0,0,0,0,0,0,0,0,0,0,0.006,0.004,0.013,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandy Alexander,1.05,3.83,18.94,238,18.2,57.77,10,0,15.7,0,35,0.05,4,34,55,23,0.15,0.024,1.2,31,31,7,0,0.08,0,0,0,0,0.3,0.013,0.068,0.093,0.016,1,0.06,6.3,0.4,0,1,1,0,0,11,2.313,0.08,0.065,0.041,0.098,0.113,0.371,1.066,0.402,0.947,0.187,0.016,0.006,0,0.08,0,0.007,0.001,0,0.002,1.082,0.218
Brandy And,0,0.19,7.8,89,8.3,83.73,7,0,7.48,0,1,0.02,0,8,4,3,0.08,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Cod,0,0.08,10.18,98,8.3,81.33,0,0,8.94,0,2,0.08,1,2,11,2,0.03,0.013,0.2,0,0,4,0,0.17,0,0,0,10,31.8,0.001,0.001,0.034,0,0,0,0.8,0.8,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0.005,0.002,0.014,0.026,0.017,0,0,0.001,0,0,0,0,0,0.014,0.044
Cocktail Nfs,0,0.19,7.8,89,8.3,83.73,7,0,7.48,0,1,0.02,0,8,4,3,0.08,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daiquiri,0.09,0.1,15.64,119,8.1,75.9,0,0,14.93,0.1,3,0.11,2,6,28,64,0.06,0.009,0.3,0,0,1,0,0.02,0,0,0,0,2.5,0.014,0.008,0.025,0.004,1,0,1.2,0.1,0,1,1,0,0,0,0.008,0,0,0,0,0,0,0.008,0,0.004,0.014,0.006,0,0,0.001,0,0,0,0,0,0.004,0.021
Eggnog Alcoholic,3.74,3.45,6.62,113,5.9,79.72,0,0,6.62,0,107,0.17,16,90,136,45,0.39,0.014,3.5,48,49,6,0,0.17,1,0,0,44,1.2,0.029,0.157,0.089,0.041,1,0.37,42.9,0.2,0,1,1,0,0,49,2.132,0.106,0.063,0.036,0.082,0.092,0.33,0.931,0.42,0.94,0.109,0.049,0.002,0,0.083,0,0,0,0,0,1.071,0.163
Frozen Daiquiri,0.07,0.08,17.65,127,8.1,73.98,0,0,17.65,0,1,0.11,1,6,21,76,0.07,0.012,0.3,0,0,0,0,0,0,0,0,0,2,0.012,0.008,0,0,0,0,0.7,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0.006,0,0.001,0.01,0.004,0,0,0,0,0,0,0,0,0.001,0.015
Frozen Margarita,0.08,0.08,16.06,122,8.2,75.08,0,0,16.06,0,2,0.09,1,5,22,204,0.06,0.005,0.3,0,0,0,0,0,0,0,0,0,2,0.011,0.008,0.003,0,0,0,0.7,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0.006,0,0.002,0.01,0.004,0,0,0,0,0,0,0,0,0.002,0.015
Fruit Punch,0.14,0.04,8.14,90,8.3,83.31,0,0,7.11,0.1,6,0.19,5,4,50,4,0.07,0.038,0.1,0,0,1,0,0.01,0,0,0,0,3.8,0.023,0.009,0.078,0.038,7,0,1.2,0.1,0,7,7,0,0,0,0.003,0,0,0,0,0,0,0.002,0.002,0.005,0.009,0.007,0,0,0.001,0,0,0,0,0,0.005,0.016
Fuzzy Navel,0.57,0.28,16.17,107,5.5,77.24,0,0,14.71,0.2,42,0.06,8,14,135,2,0.03,0.029,0.1,0,1,6,6,0.15,0.3,20,0,20,21.2,0.055,0.031,0.027,0.031,22,0,4.6,0,0,22,22,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0.013,0.017,0.005,0,0,0.002,0,0,0,0,0,0.016,0.022
Gelatin Shot,0.24,0,2.8,102,13,83.85,0,0,2.66,0,2,0.02,1,6,1,17,0.02,0.017,0.2,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0.005,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimlet,0.1,0.03,5.08,188,24.6,70.15,0,0,3.52,0.1,3,0.05,2,6,29,1,0.05,0.022,0,0,0,7,0,0.05,0,0,0,0,7,0.01,0.007,0.043,0.01,2,0,1.2,0.1,0,2,2,0,0,0,0.002,0,0,0,0,0,0,0.002,0,0.002,0.003,0.002,0,0,0,0,0,0,0,0,0.002,0.005
Gin,0,0,0,231,33.4,66.6,0,0,0,0,0,0.04,0,4,2,1,0.04,0.021,0,0,0,0,0,0,0,0,0,0,0,0.006,0.004,0.013,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gin And,0,0,6.57,84,8.5,84.89,0,0,6.57,0,1,0.02,0,1,1,9,0.08,0.01,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gin Fizz,0.03,0.01,2.22,66,8.3,89.36,0,0,1.95,0,4,0.02,1,2,9,16,0.09,0.011,0,0,0,0,0,0.02,0,3,0,1,1,0.003,0.003,0.016,0.003,1,0,0.4,0,0,1,1,0,0,0,0.002,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001
Glug,0.1,0.14,6.24,96,10.1,83.19,0,0,4.15,0.1,9,0.47,12,23,125,4,0.15,0.016,0.2,0,0,1,0,0,0,0,0,6,0,0.006,0.031,0.224,0.056,1,0,5.6,0.4,0,1,1,0,0,0,0.098,0,0,0,0,0.001,0.086,0.009,0.001,0.006,0.001,0,0,0,0.005,0,0,0,0,0,0.012,0.001
Greyhound,0.42,0.36,6.28,87,8.3,84.49,0,0,5.58,0.2,9,0.04,7,13,102,1,0.04,0.026,0.1,0,2,15,2,0.17,0,1,0,8,23.9,0.038,0.016,0.106,0.009,12,0,5.8,0,0,12,12,0,0,1,0.062,0,0,0,0,0,0,0.057,0.005,0.062,0.103,0.029,0,0,0.008,0,0,0,0,0,0.07,0.132
Jagerbomb,0.34,0.03,15.97,102,5.3,78.32,22,0,15.98,0,5,0.06,14,1,3,30,0.02,0.006,0.2,0,0,0,0,0,0,0,0,0,0,0.031,0.08,7.372,1.626,0,1.48,0.2,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamikaze,0.06,0.07,6.93,187,23.2,69.66,0,0,5.63,0.1,3,0.09,2,5,20,5,0.04,0.022,0.1,0,0,2,0,0.03,0,0,0,0,1.6,0.012,0.005,0.049,0.007,2,0,1.3,0.1,0,2,2,0,0,0,0.006,0,0,0,0,0,0,0.006,0,0.004,0.01,0.005,0,0,0.001,0,0,0,0,0,0.005,0.016
Liqueur,0,0.11,33.2,279,21,45.64,0,0,33.27,0,0,0.04,0,3,2,1,0.03,0.016,0.2,0,0,0,0,0,0,0,0,0,0,0.004,0.009,0.008,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liqueur Coffee,0.1,0.3,46.8,336,21.7,31,26,0,38.3,0,1,0.06,3,6,30,8,0.03,0.04,0.4,0,0,0,0,0,0,0,0,0,0,0.004,0.012,0.144,0,0,0,0.8,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0.078,0.019,0.021,0.096,0.008,0,0,0,0,0.001,0,0,0,0.022,0.105
Liqueur Cream,0.15,2.74,33.48,296,19.8,43.78,0,0,33.48,0,5,0.04,0,7,9,2,0.04,0.015,0.4,24,24,0,0,0.07,0.1,0,0,0,0,0.006,0.023,0.012,0.003,0,0,1.2,0.2,0,0,0,0,0,8,1.511,0.054,0.045,0.028,0.067,0.08,0.252,0.693,0.236,0.59,0.055,0.009,0.004,0,0.049,0,0.005,0.001,0,0.001,0.544,0.116
Long Island,0.01,0.15,8.66,107,10.4,80.74,5,0,8.43,0,1,0.04,0,7,7,16,0.07,0.01,0.1,0,0,0,0,0,0,0,0,0,0.4,0.004,0.003,0.004,0,0,0,0.3,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.001,0,0,0.002,0.001,0,0,0,0,0,0,0,0,0,0.003
Mai Tai,0.18,0.07,16.48,149,11.9,71.17,0,0,12.82,0.1,7,0.18,7,6,70,4,0.08,0.045,0.1,0,0,2,0,0.01,0,0,0,0,5.1,0.031,0.014,0.105,0.051,9,0,1.7,0.2,0,9,9,0,0,0,0.004,0,0,0,0,0,0,0.003,0.002,0.006,0.012,0.009,0,0,0.001,0,0,0,0,0,0.007,0.021
Manhattan,0.03,0,1.82,222,31,67.12,0,0,1.03,0,1,0.07,1,5,14,2,0.04,0.024,0.1,0,0,0,0,0,0,0,0,0,0,0.008,0.006,0.04,0.001,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Margarita,0.08,0.08,16.06,122,8.2,75.08,0,0,16.06,0,2,0.09,1,5,22,204,0.06,0.005,0.3,0,0,0,0,0,0,0,0,0,2,0.011,0.008,0.003,0,0,0,0.7,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0.006,0,0.002,0.01,0.004,0,0,0,0,0,0,0,0,0.002,0.015
Martini,0.07,0,0.15,201,29,70.8,0,0,0.15,0,1,0.09,1,5,13,2,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0.025,0.004,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martini Flavored,0.09,0.03,6.36,187,23.6,69.87,0,0,4.86,0.1,3,0.05,2,6,27,1,0.05,0.021,0.1,0,0,7,0,0.06,0,0,0,0,8,0.01,0.007,0.041,0.009,2,0,1.1,0.2,0,2,2,0,0,0,0.002,0,0,0,0,0,0,0.002,0,0.002,0.005,0.003,0,0,0,0,0,0,0,0,0.002,0.007
Mint Julep,0,0.01,5.75,187,23.7,70.47,0,0,5.75,0,0,0.03,0,3,1,4,0.05,0.017,0,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0.009,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mojito,0.09,0.03,2.45,61,7.6,89.76,0,0,1.82,0.2,7,0.11,2,3,19,15,0.1,0.024,0.1,0,7,82,1,0.06,0,4,0,18,2.4,0.005,0.005,0.036,0.006,2,0,0.6,6.3,0,2,2,0,0,0,0.002,0,0,0,0,0,0,0.002,0,0.007,0.003,0.001,0,0,0,0,0,0,0,0,0.007,0.004
Moscow Mule,0,0.01,8.6,91,8.3,83.11,0,0,8.71,0,2,0.14,1,1,1,5,0.05,0.018,0.1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Fashioned,0.16,0.04,6.11,164,20.2,73.34,0,0,5.57,0.5,10,0.06,2,5,32,4,0.06,0.028,0.1,0,2,13,2,0.03,0,19,0,24,8.6,0.018,0.009,0.054,0.011,5,0,1.6,0.1,0,5,5,0,0,0,0.004,0,0,0,0,0,0,0.003,0,0.006,0.004,0.002,0,0,0.001,0,0,0,0,0,0.006,0.007
Orange Blossom,0.57,0.26,9.32,98,8.1,81.48,0,0,7.85,0.2,42,0.06,8,15,135,2,0.03,0.03,0.1,0,1,6,6,0.15,0.3,20,0,20,21.2,0.055,0.03,0.028,0.031,22,0,4.6,0,0,22,22,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0.013,0.017,0.005,0,0,0.002,0,0,0,0,0,0.016,0.022
Pina Colada,0.36,2.14,19.48,151,7.9,69.95,0,0,17.58,0.1,8,0.21,9,8,90,6,0.15,0.076,0.8,0,0,2,0,0.03,0,0,0,0,5.9,0.038,0.019,0.124,0.063,12,0,2.8,0.2,0,12,12,0,0,0,1.955,0,0.01,0.178,0.141,1.064,0.381,0.142,0.039,0.093,0.034,0.011,0,0,0.001,0,0,0,0,0,0.094,0.045
Rob Roy,0.05,0,3.6,212,28.6,67.63,0,0,2.05,0,2,0.09,2,5,26,3,0.05,0.027,0.1,0,0,0,0,0,0,0,0,0,0,0.009,0.008,0.066,0.001,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rum,0,0,0,231,33.4,66.6,0,0,0,0,0,0.04,0,4,2,1,0.04,0.021,0,0,0,0,0,0,0,0,0,0,0,0.006,0.004,0.013,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rum And,0.04,0.105,4.01,74.5,8.4,87.46,8,0,3.74,0,1.5,0.055,0.5,8,5,4.5,0.05,0.0085,0.05,0,0,0,0,0,0,0,0,0,0,0.003,0.0095,0.003,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rum Hot,0.08,4.47,4.95,160,14.5,75.83,0,0,4.65,0.1,8,0.07,2,4,11,4,0.04,0.022,0.1,39,39,9,0,0,0,1,0,0,0,0.005,0.002,0.019,0.003,1,0,1.1,0.4,0,1,1,0,0,12,2.517,0.106,0.075,0.043,0.099,0.116,0.508,1.111,0.385,0.786,0.119,0.017,0.005,0,0.06,0.001,0.006,0.001,0,0.002,0.894,0.133
