food_name,Protein (g),Total lipid (fat) (g),"Carbohydrate, by difference (g)",Energy (kcal),"Alcohol, ethyl (g)",Water (g),Caffeine (mg),Theobromine (mg),Total Sugars (g),"Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Magnesium, Mg (mg)","Phosphorus, P (mg)","Potassium, K (mg)","Sodium, Na (mg)","Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (µg)",Retinol (µg),"Vitamin A, RAE (µg)","Carotene, beta (µg)","Carotene, alpha (µg)",Vitamin E (alpha-tocopherol) (mg),Vitamin D (D2 + D3) (µg),"Cryptoxanthin, beta (µg)",Lycopene (µg),Lutein + zeaxanthin (µg),"Vitamin C, total ascorbic acid (mg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),"Folate, total (µg)",Vitamin B-12 (µg),"Choline, total (mg)",Vitamin K (phylloquinone) (µg),Folic acid (µg),"Folate, food (µg)","Folate, DFE (µg)","Vitamin E, added (mg)","Vitamin B-12, added (µg)",Cholesterol (mg),"Fatty acids, total saturated (g)",SFA 4:0 (g),SFA 6:0 (g),SFA 8:0 (g),SFA 10:0 (g),SFA 12:0 (g),SFA 14:0 (g),SFA 16:0 (g),SFA 18:0 (g),MUFA 18:1 (g),PUFA 18:2 (g),PUFA 18:3 (g),PUFA 20:4 (g),PUFA 22:6 n-3 (DHA) (g),MUFA 16:1 (g),PUFA 18:4 (g),MUFA 20:1 (g),PUFA 20:5 n-3 (EPA) (g),MUFA 22:1 (g),PUFA 22:5 n-3 (DPA) (g),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)"
Eggplant Dip,4.8,14.98,8.15,183,0,70.42,0,0,2.81,3.9,35,1.69,83,164,264,209,1.36,0.394,9.7,0,7,82,0,0.72,0,0,0,96,7.1,0.23,0.123,1.624,0.195,39,0,11,24.3,0,39,39,0,0,0,2.188,0,0,0,0.002,0,0.027,1.37,0.689,6.056,5.475,0.075,0,0,0.059,0,0.031,0,0,0,6.131,5.561
Enchilada Sauce,1.13,0.89,6.36,38,0,89.52,0,0,3.5,1.9,9,0.65,19,41,259,906,0.25,0.081,0.8,0,11,123,10,0.43,0,5,0,422,12.3,0.046,0.036,1.615,0.083,8,0,7.9,13.6,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garlic Sauce,1.43,74.02,2.87,683,0,20.53,0,0,0.62,0.3,37,0.22,4,35,61,473,0.18,0.035,1,670,682,152,2,0.01,0.4,7,0,2,1,0.024,0.011,0.07,0.124,5,0,19.2,6.5,0,5,5,0,0,212,41.049,1.836,1.296,0.756,1.728,1.98,6.435,19.089,6.678,13.501,2.048,0.3,0.094,0.002,0.899,0.014,0.105,0.022,0.004,0.035,15.211,2.293
Gravy Beef,3.75,2.36,4.81,53,0,87.48,0,0,0.21,0.4,6,0.7,2,30,81,633,1,0.1,1,1,1,0,0,0.02,0,0,0,1,0,0.032,0.036,0.66,0.01,2,0.1,6.3,0.1,0,2,2,0,0,3,1.153,0,0,0,0,0.02,0.09,0.591,0.451,0.852,0.07,0.01,0,0,0.1,0,0.01,0,0,0,0.962,0.08
Gravy Made,0.82,0.29,9.82,46,0,86.76,0,0,3.81,0.1,6,0.12,6,17,31,981,0.05,0.015,1,0,0,0,0,0.06,0,0,0,0,0,0.003,0.015,0.221,0.012,2,0.03,4,0.1,0,2,2,0,0,0,0.127,0,0,0,0,0.002,0.01,0.067,0.049,0.097,0.02,0.003,0,0,0.011,0,0.001,0,0,0,0.108,0.022
Gravy Nfs,3.75,2.36,4.81,53,0,87.48,0,0,0.21,0.4,6,0.7,2,30,81,633,1,0.1,1,1,1,0,0,0.02,0,0,0,1,0,0.032,0.036,0.66,0.01,2,0.1,6.3,0.1,0,2,2,0,0,3,1.153,0,0,0,0,0.02,0.09,0.591,0.451,0.852,0.07,0.01,0,0,0.1,0,0.01,0,0,0,0.962,0.08
Gravy Poultry,0.71,2.62,5.29,48,0,90.3,0,0,0.3,0.1,10,0.09,3,20,42,389,0.08,0.019,0.4,1,1,0,0,0.1,0,0,0,1,0,0.024,0.053,0.285,0.025,2,0,3.7,0.6,0,2,2,0,0,5,0.639,0,0,0,0,0.002,0.015,0.489,0.126,0.893,0.378,0.02,0.004,0,0.116,0,0.013,0,0,0,1.027,0.407
Gravy Vegetarian,3.84,10.2,9.21,144,0,75.27,0,0,4.63,0.2,121,0.34,13,105,157,323,0.45,0.011,2.7,135,138,41,0,0.81,1.2,1,0,1,0.1,0.094,0.154,0.468,0.176,8,0.42,17.4,4.9,6,2,12,0,0,23,4.678,0.175,0.127,0.076,0.179,0.209,0.659,2.214,0.894,2.441,1.244,0.14,0.009,0,0.097,0.001,0.017,0.002,0,0.004,2.569,1.369
Guacamole Nfs,1.95,14.18,8.45,155,0,73.02,0,0,0.72,6.5,12,0.54,28,51,472,344,0.62,0.184,0.4,0,7,60,23,2,0,27,0,262,10.2,0.066,0.126,1.683,0.251,79,0,13.9,20.3,0,79,79,0,0,0,2.057,0,0,0.001,0,0,0,2.007,0.047,8.768,1.619,0.121,0,0,0.675,0,0.024,0,0,0,9.477,1.757
Hollandaise Sauce,5.4,57.98,1.03,546,0,34.34,0,0,0.77,0,52,0.86,3,131,57,329,0.74,0.028,16.8,558,569,127,13,1.71,1.9,15,1,330,3.9,0.048,0.121,0.015,0.094,38,0.47,208.6,4.4,0,38,38,0,0,466,30.229,1.224,0.864,0.507,1.157,1.323,4.321,14.779,5.178,12.211,2.413,0.23,0.194,0.035,0.875,0.009,0.096,0.018,0.005,0.023,13.662,2.775
Hummus Flavored,7.22,17.1,14.63,241,0,59.13,0,0,0.49,5.3,40,2.38,71,166,290,420,1.4,0.349,15.6,0,6,60,1,1.81,0,18,0,249,4.3,0.149,0.117,0.985,0.147,36,0,45.5,17.2,0,36,36,0,0,0,2.182,0,0,0,0,0,0.009,1.387,0.623,6.189,6.882,0.633,0.005,0,0.02,0,0.089,0,0.001,0,6.303,7.526
Hummus Plain,7.35,17.1,14.9,243,0,58.7,0,0,0.34,5.4,41,2.41,71,166,289,438,1.38,0.348,16.2,0,1,12,0,1.74,0,3,0,258,0,0.15,0.115,0.948,0.143,36,0,46.6,17.2,0,36,36,0,0,0,2.22,0,0,0,0,0,0.009,1.41,0.634,6.26,6.82,0.656,0.005,0,0.021,0,0.084,0,0.001,0,6.37,7.48
